emotions,text
3,"@pxx_santos welded ferida, #sad"
0,"@xDefectiveTwin Uhm... a long Tongue. —Wrinkle the gesture to be offended with the situation knowing that there are times that the boy """
3,What a bitter taste to farewell all the musical moments of the #DesayunoDeLas10 this week. @carlespena @antoniofraguas @HoyPorHoy
2,@MilagrosLeivaG please changed there is danger to q their children are already out of the country.
3,This tweet is depressed by many memories:(
2,I'm still trying not to give in to the fear if what comes is usually much better.
1,"@blackjim7 JAJAJAJAJAJAJA damn spotting, version of ""I swear I'm not bitter"" "
0,@Wertyalord1 @trenesmania @TrensDignesEbre @transportpublic And more insults... you are able to talk without insulting??
2,"I'm still outraged. As we are going to use NEGROOO??? Devil forgive them, for they know not what they do "
2,"I thought it was a gilada what you feel annoying, but it is far, far more horrible"
0,@GaunaIzaac And with the other people sp fast that I get angry
2,"my moments of cholujaje I go back to the more bizarre of the world....WITH 16 YEARS, WE WENT TO THE ER OF THE NIGHTERS WITH ESCABIO "
1,At what point did I become so ajjjajjajajaa 
0,"No morra. You are not depressed. People are depressed, afraid, goes mad. Yours is just a tantrum of a teenager."
3,"Did not want q to skip my ex and retruquemos q faltò, the q did not, etc etc etc , it is a return to the past , and it is sad. Fucking day ."
3,Comes my sister with her friends and staying to sleep and I aca the ice cream of the music of the blues and crying are going to think that I'm crazy good
2,"Because the light of my room siempreee flash, as in the horror movies when it comes to something bad"
3,"Me mind it's too horrible... can't stand it will I stand, or I stand it."
1,"@Miguel_layun I want you to know I'm your fan, thanks to you, I liked the football, it is all your fault layun "
0,@NoticiasVenezue In a clear sign of desperation to be seen discovered the massive fraud committed on the nation.
0,How can people do to not feel hatred and resentment in their hearts?
3,@Scarletbisex won't let me 
0,I need the colo to fix your cell phone already 
1,"""I looked at it and I realized that I would spend the time and every time I see his smile or hear his laughter, he would die of want that was mine""."
2,@alertasurco red Toyota with 3 people in suspiciously block 9 Antúnez de Mayolo park Peru vista alegre
1,@Auriazul1D Exercise and a bit of fun 🤔
0,"I get angry super fast,lpm✋"
2,I have a desire or the most hijueputas buy a Canvas of boxing and give cuffs to damn the whole day with horror themes at full volume.
1,"@vicki_castillo @JonyBethen Hahaha that's funny, because they give rt to think that what tuiteaste em seriously"
0,"Shots of bitter liqor, which I hasen to forget And I feel like a coward ,that till I start to cry"
1,"@rincondedacne Of nothing friend, I do it with much gusto!!! "
0,"I am tannnn little sentimental, tannn hateful and tannn bitter q sometimes I think q to me gave me no him but sulphuric acid"
0,"I hate to be so sensitive, I get excited very fast, I get angry very fast and I get wrong twice as fast."
3,"I get nervous that half an hour ago was listen to the police, or firefighters, or ambulance. Agarrame Martaa"
1,"Imagine, that's funny."
0,"I am very outraged, they are drunk and flayean that I'm drunk and don't let me take, high family"
3,"I can't sleep, I have no idea how I'm going to lift tomorrow "
3,"@ErickLindoro Siii, super sad "
1,@haditarabiosa @viry_chio HAHAHAHA 
3,I'm so bored in these holidays that I am able to leave the shit there for a couple of days. I'm seeing Colon entre rios.
0,@GustiSandoval1 And not convidas is Not resentful 
3,"Antidepressants seek to ""get"" the person of the potential danger that implies the depression may (suicidal ideation). However,(1/2)"
1,haha then I block so much importance I give jajjaja oh 
1,Now if I fall asleep calm 
1,@Jipstaah Lucky that I'm already pope married ah
2,I wake up again psed a nightmare q ugly
0,"Want to delete a comment and delete the picture, if only my I pass those things"
0,@Darcher_7 @Nico_Medrano17 I feel offended. Play nice comegatos
1,@SoSofiaReyes That fast the time goes I feel that you just comply years 
3,If I can't climb stairs how to get to the third floor in the high school 
1,"@SimbaRella40710 Hahaha nono ,just that it is better because it doesn't repeat "
2,"@NaomiCorona98 Very dangerous, in a crash you can exit projected by the windshield"
2,@GenPenaloza and the first q runs is he but to hide
1,The good thing is that I am 19 and no one knows how many I turned 
1,@Abran_Dalmr @Gustavo_Soagui @Annett83236709 @SkyAlertMx If many thanks 
1,"@Chusita good morning beautiful, I hope you have a brilliant day. I love you very much. I'm already listísima to listen 🤞"
0,@MariferBanda ??do I feel offended
2,"Or the people you trust too easy on other people, or I'm super distrustful. I shot for the second"
1,Cut off the light. Someone is going to quit studying that joy
0,@caterinabarbi resentment of the stick
2,T step any time?Vi x the door d the piece go to someone x to the aisle. I look and no one is there. #rare #tepaso #horror 
2,"I wish it had been something more serious, so you may have been worried about me."
0,"@izzaleksandrova There are many ways to die... run over, been electrocuted, drowned..."
3,"That news is so sad: died Chester Bennington, tremendous vocalist! #LinkinPark"
1,@Nachojmontero was Not to cry.. but feel proud! hahaha
2,"@Noedglez1 Anyone would say that Noelia is angry with me, but no, in reality you are angry with me, and already"
3,"@RossFragoso That's good that you're with them, more secure. Terrible you're going through all this, I did not get to see this in the DF. Hug!"
0,"I feel offended, we are not so"
0,@koumeonop I grabbed angry nimodoooo hahaha
0,@glxymuse good for maja that I get angry >:( I are you calling a liar?
1,That Sunday herrrrmoso! 
0,@BenetBeca @lareirinha @PPopular to Offend a bottom is not to offend
1,@ArenaZeroOk @Fairy_Tail_DD Of Course! For our part we accept it gladly 
3,"That sadness that there are certain ""fans"" dedicated to systematically criticise absolutely ANY player who brings leadership."
1,"""You have to take a break"" hahaha no friend hahaha "
0,@CNT_EC have the courtesy to repair the internet service at my house! It's terrible that every day you will have problems with the connection
0,"That resentful not? By favorrrr, the negrito some reason had to tell me that you're a traumada barbara."
2,"@Gastako @realista111 Is a interested was not so angry with Alexander?, Xq was with at the hotel? Vulture is a vulture"
1,"Don't judge each day by what you harvest, but by what you plant. #Happy start of the week."
3,¡LAMENTABLE! Andres Uzcategui died explotarle mortar in the pechohttp://www.barcelonian dandies.com/andres-uzcátegui-died-mortar/
2,"Note this time @alinroberto , we're reading @cocosaez and he ignored and kept quiet. He has panic to the lady."
3,Devuelvanme my friends single 
2,"#Terror on The first day killed the cat, and devoted himself to catch flies to feed on The second day he jumped on his wife and wanted to enlularla in fabric"
1,I see everyone uploading photos with friends and I'm re happy because I told my friends of the soul all by chat priv only for them♡
3,That #Depression post concert 
0,"I would like to be a politician, but I already have enough with the shame of others caused by all of the parties."
3,"You're not depressed, you're distracted Distracted from the life around you"
2,I already know what it is that I do not see horror movies. #scared #hoynilocaduermosola #mevilapeliculasoloparacomplaceramisamigas
1,"I know, I'm beautiful!: I feel great"
2,Keiko has nothing to do with Montesinos!He took authority that was not to be!The Fujimorismo is the main opponent of terrorism!
3,Less evil that never gave me shame to cry in the bondi.
3,"If before I did not sleep, now less... that stress. "
2,"Right now, I would like that my biggest concern was not being able to go to music festivals and stuff"
0,"@bendysy I did not insult you... sometimes you give your time, and I think that when you're not a couple of questions and then to the mailbox messaging"
1,I believe in love because I am never satisfied...
1,@mybosscabello Jajajajja csm are very rare 
3,"Depression is a disease, although it is fun, it is a delicate thing, it reduces the patient's quality of life, to the point of taking him to the suicide."
2,That shock gives porraa
3,@mateodelorto but I'm not crying ahre
1,"he feels that all support is the happiness of the whole, never let it be #SebastianVillalobos #PDCs #SaakTrendy #KCAMexico"
0,I think what I hated of Nocturnal Animals is the same thing that I hated Gone Girl. You are stealing my ideas of revenge.
3,I know that it has not given me a dream because I'm outraged.
1,Tomorrow will be exciting.
0,"When I'm sick I am more bitter and overly sensitive, I think that touch me and I start to yell or cry I don't know why"
3,that crab lice be bitter and depressed
0,"@olvihormigos Well, nothing, the CM to the street. Most of you would know do it better no offense"
0,"I remember that tomorrow comes the lady and I get angry because I have to get up early, but since tq mrs lydia, if not the house was disgusting "
2,"Anxious and stressed out I am and I don't have time for anything... but oh well, this has been my little reflection today (tmb is xq me I'm reading +"
2,Makes Me nervous this mine 
2,It will scare you if you see all of this
2,The light breeze that there jesus moves the entire door 
3,Two shots more 
0,"Look eh,If the day already had it bad,I was missing having @DanielaBlume ""angry"" by comments stupid. "
3,"I hate Monday!. have class of 6 am for me it is something traumante, do not know what it would cost me that raised "
1,@Real_Oscarinn @lapollislicona Hahahaha if the worst thing is that if I cook well until hunger gave me 
3,My friends have abandoned
0,"By everything I'm angry, dear god help me plis"
3,@Miralba And perhaps not in you by pessimistic..
2,Sometimes I'm watching movies without any reason to be able to cry quiet and don't ask me why.
3,"I hate that I console ""for spite"""
0,@loisdf101 @RFPradas @peprm Less insulting i but learn to respect that there are people who do not think as your...
3,The bad thing is that people do not want to go out with me 
0,Divine start to the day cayéndote with fury on the sidewalk at 5 and a half in the morning.
3,@IvanZavaIa do When you're going to come to Chihuahua? 
3,@AndreaBathory I'm watching Mai-hime. Weeey as she missed Nao and Natsuki to Alyssa and Miyu awsaydkkskd even the crazy Midori 
2,Terrible sailing are doing
2,"it is very frustrating to practice and practice on your instrument and that you don't feel any improvement, it really makes me sad that "
3,You can talk about national depression?
3,"@Juventud_CAJU a shame the truth @m8gabriel had a serious project for the football, but bue to the low vision does not follow the project"
2,@LezoBlas @PedroInsua1 @jsierrah @xesusgalan don't see it! #scare
0,@TamaraCapeche Hahaha she is angry
2,is that you'll never leave me nervous
1,"Don't pay more karaoke with animation, lights, screens, smoke and all the fun Separates your date 9811864230"
1,Every day I wake up proud of the amigxs that I chose 
1,That nice lady
2,"are as John Carlos taking a spin of deception, three to poison someone ""take this poison I SAY... THIS FANTA"""
3,"Today dinner coffee, bitter and lonely coffee."
3,"#DraCorderoMV very interesting topic. The #Depression a disease-maligned, little-understood. Important the covers the #Boom #SaludMental"
1,"""at first it appeared very funny and never gave me the avionazo or you're gone, my fault, I'm not talking to you"""
3,"Or all the videos and live concerts of Linkin Park are going to cover the vacuum. That sadness. Us was Chester, it was a piece of my life."
1,as you know that you love her ahre I'm watching enchanted
2,"I remembered that a dentist was checking my teeth, took off his gloves, and made movements obscene with his fingers in my mouth. "
3,"Two days ago I had no idea what it was Castlevania, and today I am angry because there are only 4 chapters of shit."
3,And despite all the is the only person that I would risk once more to love.
0,I do not dye Santanaaaassssss 
3,"The song ""hey woman"" is the thing more unpleasant, and current that can be ugh! Do not tolerate ..."
0,Mf chau re angry
2,"It makes Me super nervous to stay at me, I laugh like stupid"
3,As I am hating this insomnia 
2,"@NTN24ve that is the only thing that knows how to do this lord , threaten, and threaten"
2,@adrianmilo123 journalists in buenos aires without horror!! I believe that it is Already with one foot in Central
0,"I saw the fight of the group, and do not stop to think of bianca, hopefully not suicide"
2,I'm about to send you an e-mail to my ex-tutor to ask if I can continue with the gfr #sadness #nostalgia #sentimientosencontrados #confusion
0,@LeoneLGomezz_10 ... if you want this well that treat me well 
1,"My friends are everything, I wish I never missing. O happy day! I love you ❤️"
3,@edrovill @JocF08 You custom how uncomfortable that is 
1,"MB if I am not mistaken I once got confused in his recitation of snap and send you terrible escracho mio haha,me re copa q estes studying the prof luck with that"
2,"If you do bleed to a god people would stop believing in it, the water is tint of red and attend to the sharks"
2,"I prefer to make ko, but find the fight to be running #mcgregor "
3,@EEMILYY22 That life so bad. 
0,"And therefore, to be expected, and dramatic and televised, framework a before and an after, a logical response of anger of the people, q was decaffeinated"
3,4 children escape from the sename 2 prisoners x theft ball gas and drugged they would not want to commit suicide? child serious falls from 15 meters and nobody trib
3,That boring people who want to remain on good terms with everyone always
2,More anxious than ever tramitame 43 litres of bleach
2,"I'm not like her, & that also makes me different is a horrible situation and must be going wrong I prefer not to laugh and ta q horrible"
1,And this is who I am. 
1,"It is nice that it is Sunday, and keep pants clean whenever I forget to wash "
3,"@salvaoret so already, load it with a disgust no guarantee to fix it for the next... :("
1,"At the beginning did not call my attention, then I saw him smile and it was like applying a thousand filters of Instagram."
1,@CristinaEnAlfa Hahahahahaha would be great
2,Tremendous wind that there is afueraaa 
2,Last night I broke out the vein of the fury of miracle.
1,"@JulietaWells_ @haddidmia Os re funny bro, is my current socioo"
2,@GusMenFox @clubleonfc Very ugly!! Horrible to see the advertising !!
0,"@EmiOlmos87 Clear the lord he never speaks, but for bardear is the first in line hahaha"
2,"Wake you up ahogandome in a nightmare, is not good."
1,@OzielCVargas9 Thank You!!! 
3,"I'm not crying, I got a Hybrid Theory in the eye."
2,"You are losing Million and lost America, a word more and my heardit and my old kick me out of the rancha."
0,@feernandatj FERNANDA ALREADY TOLD YOU THAT NOT
0,"People always think that I'm looking at it wrong. I don't I look evil to anyone, I have face of bitter and since."
0,@CandeSolsu shut up that I am offended
3,@Lucas_Castel I'm gonna make you cry luke
0,I get angry all over
3,"@elcapiperez you should make a resolana that lasts 7 hours, or in the dawns, because it gives me fear in the night and can't sleep "
2,"Night of the terror of the day of comedy, and by the afternoon we are only serious people jaaaaa"
2,What a bitter taste to farewell all the musical moments of the #DesayunoDeLas10 this week. @carlespena @antoniofraguas @HoyPorHoy
3,I find it quite uncomfortable that I like someone because I don't like that I like someone
2,"I would guess that a tire of doing damage and flee like a coward (I'll let you follow bloqueándote and desbloqueándote, not entered in your account)"
3,@pastorp93 What happened to pana??? Hopefully is nothing serious
3,This financial dilemma has me with an anxiety so brave.: I feel pensive
1,@kzla_ Good technique? 
3,"Like when you're desperate to meet people who share your tastes, that until you post in a group. WHAT A SHAME I GIVE IT TO YOU. what????"
3,Mourn the loss of someone who still continues to live.
1,@armandozhoil True... - Enjoy! 
3,The most uncomfortable ride cold and with the lips made perrrcha
1,"JAJAJAJAJAJAJAJA, I admit that this gave me a laugh, I imagine"
0,amelia panicked
3,How I enferrrrman you're cosassss 
0,"I have to study, what straw. A long time ago didn't have to do it, life was more cute "
3,@Blueberry_TRA little brother I miss you 
2,@Natalistica that fear hahaha
0,"Is fixed, comes this professor and I want to stand up and leave class, I feel your bad energy that I just hate it "
0,"Good a more, not again I say, or click, great bitter."
1,If Chacon came to Magdalene I give him the round-the-world 
1,With friends taking something tranqui: I feel great
0,Fuck that scared me I hit hahahaha.
0,@xjoseluis I Already know 
0,#IrreversibleMaldad The amariconao is a complaint by the son of his polola. The pack is received in full. 
2,@tomacuaquer @caritocabrera28 You I think sometimes they pass these things #scared
3,I have itching in the throat that despair
2,We almost hit with the truck in the ravine because it rains a lot and the road to extremadura is bullshit. We have patinao. 
2,@Fanny_Perru That Casti is terrible boluda
0,"@DanielaBlume aunt, as pussy I convince my mother to pa to let me go to see you, do I get angry and no respite? "
0,I'm so embittered that everything we encounter buts or something bad.
2,"I want to change my @ for a long time to ""danionino"" or something that has to do with Noragami or DN but this shows my love to Hobi and help PANIC"
0,Lack in a fight or confessions lurid 🤔
0,A traffic light ill-fated meets best function that a police transit 
1,@NathalieeParraa Quiet after the darkest night comes the brighter day
1,"one of the things I value most in my life are my friends, what joy to have them all"
1,"Daddy put the tacoma down so I can sleep with air ☺️☺️ Tacoma 2017 I love you, thank you for bringing receptacle "
3,@miishelv20 I was hacked! 
1,"That fortunate I am to have the friends I have, truth to the best of my life❤"
3,"as if they were comparing a rupture of the couple, with something as complex as depression"
3,"If that makes me nervous, I don't want to imagine the day that happens."
0,@BaezAlexis2 Coward hits players
1,Lucky to find you. 
1,"Even if they are stupid things, of q all I have done has been worthwhile and that has me happy with you"
2,The child I love the most does not appear and does not answer anything and the net I'm concerned
0,Not a day I hard the piece ordered 
1,With wine that paints the tongue 
1,@katerinenene you Can write me whenever you want beautiful 
2,I have I like a tweet from months ago #fear
2,I'm running in ridiculous but despair not I am is despair
0,"@DulceHTPMS Apart from that it's horrible when it happens to me because literally my humor is disgusting, I'm angry too, why am I thus?"
1,I am happy 
3,"@Nicoo_ooo As you said, Andrew, I lost you , I love you Teddy bear "
3,"@Mickey_Dozanti Unfortunate for me, I don't think it's possible to see us, and that if it makes me sad. Like having fun and spend nice. ❤✨"
0,"@NattyMore @Mum1112 I Said (coshas) plural,poorly designed I do not like oysters "
1,Happiness is: enjambarte a dose of waffles before sleep 
3,@geraredon2 the bar ripped just assumed. Unfortunately for NOB of tacuara Cardozo was the preludio..de the large bar
3,"That shit that by a sexual abuse, excessive drug and depression lead you to take your life.. I hope now you are in peace #ChesterBennington"
2,It is so cowardly to tell us that you do not ... ☕️
0,at florence if I answer no I get angry eh
2,@AngeldebritoOk @laufer4 I'm anxious!
1,I don't say Happy day to my friends because they are my brothers! Bro bro bro
3,That sorete you let me so nervous not AAAAAAAAAAAAAH I'm going to die(?????ahr if
3,Guayaquil is darker than my heart.
1,There is nothing I cheerful most of the day to go leading and see a puppy in the window of another car playing with the wind :')
3,@NestorReverol it Is unfortunate so much hate inoculated on the right fascists! why NOT TURN !
0,If we organize ourselves we can offend all groups.
1,Nothing more funny that to talk to someone that you believe to be interesting and also is sobreactúa.
2,Survive By Sheer Anxiety With The Knot In The Throat!!!!!!
0,Already tired with your attempts to insult jajjaja kisses
2,"After all the month of August (the eating of shit, and not doing anything) I'm going to regret. "
3,As it will be one to be extra of your voice stereo. #sadness
1,"@JBCPERU @pruperu Are types of double standards , we believe standard-bearers of justice, let me smile "
2,Guess who has a doctor the Monday coming and you are afraid because you are going to have though 
0,@EmiBrez I hate You
3,We both want to but we kill the cowardice !!!
3,I had not noticed that I have two weeks sober today I turn away from this unhappy life
3,You do you know of pain and sadness yes no you spent crying all of a chapter of Glee. 
1,go to the supermarket at this time is great.
0,It is not anger Spain depcecion and I think that is worse
1,"@mpz1005 Hahahaha it's a comedy Spanish, funny but out Spanish very beautiful, the truth. Jajajaa"
2,eu members are nervous for the event? ahre haha @AlejoIgoa
1,I want to travel the world. 
0,Have not taken anything for Banri ni Itaru and I feel very indignant.
1,@EsquivelMaylet @OLeovan As I was today because you did not want to go with me someone else if you wanted to
3,That uncomfortable I feel at times
0,Now I'm going to go to sleep angry.
0,my gas de burzaco in 2015 ponia 55 stoves today 3 ... since this is the measure of a laburante - this system is deplorable
0,So resentful you're going to be locaaa?
1,@SoyQuemero_web a song says here COMES THE BLACK RAMON BAILANDO ALEGRE BAYON
2,Kimberly has me more nervous
0,"Let me exceed your danger zones, to provoke your screams and you forget your last name"
1,"I'm going out of town Sunday and I'm not excited, only good for all the food that I will eat 🤤"
0,"@SChecoPerez @HawkersMX shame on You who are my earth, I beg you pardon for the offense to mexicans!!"
0,"tomorrow I could return to my home, and for that I go so offended, I ask the silver for the ring.."
0,"If I go to bardear find another ""insult"" because the whore and been already burned (And sucks me an egg also). Kiss"
1,And now is when the more I realize how lucky I was.
2,Ohhh until I was the dream of the disgust 
1,@ferdipoca happy 
2,#Terror By a simple yawn swallowed a spider that nested after his epiglottis and from there ruled the rest of his life. He died in three days.
0,@vaneguide @Lenin I am outraged 
1,@StoesselMyJoy HAPPY DAYS MY AMORR
2,"Contrasts of the #Concacaf: while Martinique is to the surprise of the #CopaOro2017, E. U. and Costa Rica are not going through a good time."
0,"I'm going because I want to do great things, and not to live unhappy with a job that I don't even like."
1,"I have just seen in the film the worst movie of terror but the most fun, and with the best audience"
2,"!Fear!,I was afraid of finding it - "
2,I am so anxious that I'm not going to be able to sleep
1,#Happy #Anniversary of #Friendship in #Facebook and many more 
3,"Great, depression and bulimia. What more #rock and more...!"
2,I hate that I touch the neck that feeling horrible I do not like
3,"I hate the people closed, that is not allowed to help. To make matters worse most of the people I love is so "
1,"Few friends I met and a few that I missed, but I'm with the most wanted ❤ ️ Happy day to them, my ground wire!"
2,No qiero be apprehensive but ... if you missed my coat favorite in the world .. if I'm going to emputar and feel very disappointed d my same 
0,I don't want people unhappy that this near me!
1,"@NasranaAIC Jajajajajajajaja no c, weno if c but no wa to say "
1,happiness mode on 
1,"@hum0r @EPN ajajajjaa. Forgiveness, my Lord. I'm 1 minute from you to stop me laughing, not least, as to 5 "
3,@LeSet_ @_XpressTV Now exists only in my memory 
0,"Just assaulting my younger brother, I have been kicked in the face, in emergency by the scourge of the society, rage and impotence"
2,Cabeza e' mango is lost. Humanity in the balance because its reserve in intellectual is in danger...
3,And it was all a lie 
2,We deeply regret the death of the user of BiciMAD by roadkill in c/Alcalá. Our deepest condolences to the family. ...
1,"31 the best by far, I adore you a lot, you never fail me, answers something cute or I delete the tw "
1,I already don't want to take and my mom came with my bottles of tequila that were in the house of my grandmother #Happiness
2,"@MoyShasta ahh, I was blown away!"
1,@suyoshimurakami I Wish all the Sundays are so 
0,"@EmiRatajkowski Is that it is an offence to the population penastica, okis."
0,Q resentful of the ortho
3,"""You don't know what you have until you lose it"" The pure truth "
